Year,Team,Elo_Rating,Matches,Win_Rate,Draw_Rate,Loss_Rate,Goals_For_Per_Game,Goals_Against_Per_Game,Goal_Difference_Per_Game,Points_Per_Game,Host,Confederation,FIFA_Rank,Previous_WC_Progress,WC_Matches,WC_Wins,WC_Draws,WC_Losses,WC_Goals_For,WC_Goals_Against,WC_Goal_Difference,WC_Points,Live_Form_Win_Rate,Live_Form_GF_Per_Game,Live_Form_GA_Per_Game,Is_Eliminated
2026,Norway,1914.0,8,1.0,0.0,0.0,4.625,0.625,4.0,3.0,0,UEFA,31,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Croatia,1912.0,8,0.875,0.125,0.0,3.25,0.5,2.75,2.75,0,UEFA,11,0.9032,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Turkey,1911.0,8,0.75,0.125,0.125,2.375,1.5,0.875,2.375,0,UEFA,22,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Japan,1906.0,15,0.8,0.1333333333333333,0.0666666666666666,3.4,0.2,3.2,2.533333333333333,0,AFC,18,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Belgium,1894.0,8,0.625,0.375,0.0,3.625,0.875,2.75,2.25,0,UEFA,9,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Uruguay,1892.0,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,1.2222222222222223,0.6666666666666666,0.5555555555555556,1.5555555555555556,0,CONMEBOL,16,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Switzerland,1891.0,6,0.6666666666666666,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,2.0,2.333333333333333,0,UEFA,19,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Mexico,1875.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CONCACAF,14,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Senegal,1860.0,10,0.7,0.3,0.0,2.2,0.3,1.9,2.4,0,CAF,15,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Paraguay,1834.0,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.2222222222222222,1.5555555555555556,0,CONMEBOL,41,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Austria,1824.7,8,0.75,0.125,0.125,2.75,0.5,2.25,2.375,0,UEFA,24,-1.0,1,0,0,1,0,3,-3,0,0.0,0.0,3.0,1
2026,Morocco,1818.8,8,1.0,0.0,0.0,2.75,0.25,2.5,3.0,0,CAF,7,0.9032,1,0,0,1,0,1,-1,0,0.0,0.0,1.0,1
2026,Canada,1788.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CONCACAF,30,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Scotland,1782.0,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,2.1666666666666665,1.1666666666666667,1.0,2.1666666666666665,0,UEFA,42,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Australia,1777.0,16,0.6875,0.25,0.0625,2.375,0.4375,1.9375,2.3125,0,AFC,27,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Algeria,1772.0,10,0.8,0.1,0.1,2.4,0.8,1.6,2.5,0,CAF,28,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Iran,1772.0,16,0.6875,0.25,0.0625,2.1875,0.75,1.4375,2.3125,0,AFC,20,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,South Korea,1758.0,16,0.6875,0.3125,0.0,2.5,0.5,2.0,2.375,0,AFC,25,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Czechia,1740.0,10,0.5,0.3,0.2,2.2,1.2,1.0,1.8,0,UEFA,40,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Panama,1730.0,10,0.7,0.3,0.0,1.9,0.5,1.4,2.4,0,CONCACAF,34,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,United States,1726.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CONCACAF,17,0.5161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Uzbekistan,1714.0,16,0.625,0.3125,0.0625,1.6875,0.6875,1.0,2.1875,0,AFC,50,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Sweden,1712.0,8,0.25,0.25,0.5,1.25,1.875,-0.625,1.0,0,UEFA,38,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Egypt,1696.0,10,0.8,0.2,0.0,2.0,0.2,1.8,2.6,0,CAF,29,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Ivory Coast,1695.0,10,0.8,0.2,0.0,2.5,0.0,2.5,2.6,0,CAF,33,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Jordan,1680.0,16,0.5,0.3125,0.1875,2.0,0.75,1.25,1.8125,0,AFC,63,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,DR Congo,1652.0,13,0.6923076923076923,0.1538461538461538,0.1538461538461538,1.3846153846153846,0.5384615384615384,0.8461538461538461,2.230769230769231,0,CAF,46,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Tunisia,1628.0,10,0.9,0.1,0.0,2.2,0.0,2.2,2.8,0,CAF,45,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Iraq,1607.0,21,0.6190476190476191,0.238095238095238,0.1428571428571428,1.5238095238095235,0.6666666666666666,0.8571428571428571,2.095238095238096,0,AFC,57,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Bosnia and Herzegovina,1595.0,10,0.5,0.4,0.1,1.9,0.9,1.0,1.9,0,UEFA,64,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Cape Verde,1578.0,10,0.7,0.2,0.1,1.6,0.8,0.8,2.3,0,CAF,67,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Saudi Arabia,1576.0,18,0.4444444444444444,0.3333333333333333,0.2222222222222222,1.2222222222222223,0.7222222222222222,0.5,1.6666666666666667,0,AFC,61,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,New Zealand,1562.0,5,1.0,0.0,0.0,5.8,0.2,5.6,3.0,0,OFC,85,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Haiti,1548.0,10,0.6,0.2,0.2,2.0,1.3,0.7,2.0,0,CONCACAF,83,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,South Africa,1517.0,10,0.5,0.3,0.2,1.5,0.9,0.6,1.8,0,CAF,60,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Ghana,1510.0,10,0.8,0.1,0.1,2.3,0.6,1.7,2.5,0,CAF,73,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Cura̤ao,1434.0,10,0.7,0.3,0.0,2.8,0.5,2.3,2.4,0,CONCACAF,82,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026,Qatar,1421.0,18,0.5555555555555556,0.1666666666666666,0.2777777777777778,2.055555555555556,1.5555555555555556,0.5,1.8333333333333333,0,AFC,56,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
